6,https://t4.ftcdn.net/jpg/02/82/65/97/360_F_282659747_CCOwrow02FzsV5yIA3EdrA3mVtqe0wP3.jpg,Каталоги,Деталізовані списки матеріалів та ресурсів для легкого доступу.
9,https://cdn2.vectorstock.com/i/1000x1000/19/96/graphic-cartoon-character-online-rating-vector-36801996.jpg,Рейтингова оцінка роботи викладача,Дані про оцінку професійної діяльності викладачів.
7,https://prospectss.com/wp-content/uploads/2022/09/Hero-Bg-1024x539.png,Циклові комісії,Круговий потік правил.
5,https://osvita.cv.ua/wp-content/uploads/2022/09/ZASTAVKA-PK.png,Курси підвищення кваліфікації,Опції для професійного зростання та навчання навичкам.
1,"
https://www.univariety.com/blog/wp-content/uploads/2020/05/The-Power-Of-Research-Tools-%E2%80%93-Your-Future-In-Your-Hands-1200x900.jpg",Загальна інформація,Основна платформа для огляду ключових та важливих деталей.
10,https://meacenter.in/wp-content/uploads/2021/08/Certificate-Attestation.jpg,Атестація,Інформація про процес підтвердження кваліфікації та професійних навичок.
11,https://ifk.pnu.edu.ua/wp-content/uploads/sites/8/2018/04/657663543fd.png,Плани роботи,Огляд планів та цілей для подальшої діяльності.
4,https://st.depositphotos.com/27811286/59989/v/450/depositphotos_599896278-stock-illustration-young-teacher-woman-explain-front.jpg,Школа молодого викладача,Місце для навчання та підтримки початківців у світі викладання.
2,https://png.pngtree.com/element_our/20190529/ourlarge/pngtree-office-document-cartoon-business-image_1232084.jpg,Нормативні документи,"Місце для зберігання стандартів та правил, що регулюють діяльність."
8,https://img.freepik.com/free-vector/seminar-concept-illustration_114360-7480.jpg,Конференції і семінари,"Інформація про заходи, що сприяють обміну досвідом та інноваціями."
3,https://media.istockphoto.com/id/1131125007/fr/vectoriel/en-t%C3%AAte-du-site-web-du-recrutement-et-du-concept-rh.jpg?b=1&s=612x612&w=0&k=20&c=tbgmT53a70SMKuEmpieF7th-Ayi0AQTn0xAV526E5vg=,Посадові обов'язки,Інформація про очікування та обов'язки в конкретних посадах.
